medidas,percent
11838344,0.00%
11193616,5.00%
10630451,10.00%
10141799,15.00%
9490555,20.00%
9002279,25.00%
8351864,30.00%
7698569,35.00%
7210420,40.00%
6561128,45.00%
6071856,50.00%
5496851,55.00%
4831974,60.00%
4332526,65.00%
3666675,70.00%
3167317,75.00%
2502139,80.00%
1836450,85.00%
1328424,90.00%
655708,95.00%
33064,100.00%
